	big_hdf_day15	big_hdf_day25_CD34	big_hdf_day25_CD49F
DNAJC2	0.000573489243884	0.997155487326	0.00025919711482
TMSB4X	-0.298985414146	-0.0152711277519	-0.361243322126
LGALS1	-0.302651673985	-0.014691491094	-0.339077764466
FTL	-0.33990115663	-0.0292048170243	-0.286363245061
VIM	-0.238244203642	-0.0134267400827	-0.15284192127
S100A6	0.140923058531	0.00792939538751	0.197740355974
CST3	0.103090841876	0.00669775229027	0.203813940366
ACTB	-0.141957690813	-0.0101484525607	-0.156132329994
SPARC	0.118589278788	0.00694833225843	0.177073761007
CLU	0.106928873721	0.0143063275907	0.177162610237
SERPINE2	-0.156948796299	-0.00532909236362	-0.132435736698
ARNT	-0.142867026365	-0.00446931176875	-0.11787291275
TGFBI	-0.128836726686	-0.011965369126	-0.113587236064
COL3A1	0.138647646932	0.00198919378314	0.113033009508
EEF1A1	0.168725069416	0.00222440983052	0.0745259065663
CD9	0.107099141815	0.00476252326938	0.113000057476
CLEC3B	0.10668386489	0.00135519332477	0.116578731207
LPCAT2	-0.117936047057	-0.00497551148106	-0.0939428478019
MIR1282	0.134177085682	-0.0313180289597	0.112742078616
FTH1	-0.108488906105	-0.0161378025761	-0.0780987562916
GSN	0.0665029841849	0.00223750759436	0.130047019589
MMP1	-0.103564932408	-0.00362055998273	-0.0885269503033
COL6A1	0.111162548959	-0.000806834613152	0.0760950532209
PKM	-0.0955127564447	-0.00406557146823	-0.0866945797555
HTRA1	-0.0955214095984	-0.00415464992704	-0.0743856252239
ACTG1	-0.083024808421	-0.00654629683829	-0.0826394851558
MT2A	0.104507961647	0.00718426892703	0.057132656465
THBS1	-0.0846581483092	-0.00641708416703	-0.0759971214988
DCN	0.0415439308897	-0.000620074964011	0.110688089262
MMP3	-0.0748733417324	-0.0044786381012	-0.0674787021294
HSP90B1	-0.0790692780696	-0.00175833793413	-0.0652479226247
ANXA1	0.0573941496241	0.00295027875433	0.0851134575292
ITGB1	-0.0664349121225	-0.00447466128506	-0.0734275710939
TMSB10	-0.0442758656873	-0.00508251419701	-0.0875927314057
